title,cat1,cat2,cat3,cat4,img,link
레이스 재킷 1종,패션의류/속옷,여성브랜드의류,자켓,캐주얼자켓,https://asset.m-gs.kr/prod/1075152438/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075152438&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=1&lseq=427008
남여공용 시그니처 코튼 티셔츠 5종,패션의류/속옷,여성브랜드의류,티셔츠,반팔티셔츠,https://asset.m-gs.kr/prod/1075890793/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075890793&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=2&lseq=427008
레이스 스커트 1종,패션의류/속옷,여성브랜드의류,스커트,롱스커트,https://asset.m-gs.kr/prod/1075154334/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075154334&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=3&lseq=427008
플리츠 원피스 세트,패션의류/속옷,여성브랜드의류,원피스,셋업/점프수트,https://asset.m-gs.kr/prod/1070020931/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1070020931&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=4&lseq=427008
밴딩팬츠 3종,패션의류/속옷,여성브랜드의류,바지,긴바지,https://asset.m-gs.kr/prod/1070042780/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1070042780&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=5&lseq=427008
린넨 블렌드 베스트 1종,패션의류/속옷,여성브랜드의류,가디건/조끼,조끼,https://asset.m-gs.kr/prod/1076438344/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1076438344&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=6&lseq=427008
가디건 3종 [긴급 리오더 공수],패션의류/속옷,여성브랜드의류,가디건/조끼,가디건,https://asset.m-gs.kr/prod/1071120003/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1071120003&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=7&lseq=427008
모르간 테일러드 더블버튼 원피스 1종,패션의류/속옷,여성브랜드의류,원피스,롱/맥시원피스,https://asset.m-gs.kr/prod/1057524676/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1057524676&sectid=1660574&lsectid=1660574&cate_link=300-1660574&rank=8&lseq=427008
뉴 반팔 가디건 3종,패션의류/속옷,여성트렌드의류,가디건/조끼,가디건,https://asset.m-gs.kr/prod/1070042580/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1070042580&sectid=1660575&lsectid=1660575&cate_link=300-1660575&rank=1&lseq=427008
버뮤다 데님 팬츠 2종,패션의류/속옷,여성트렌드의류,바지,청바지,https://asset.m-gs.kr/prod/1077165616/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1077165616&sectid=1660575&lsectid=1660575&cate_link=300-1660575&rank=2&lseq=427008
