기준영화,추천영화,유사도 
F00142,B09795,0.06917756995819573
F00142,F48115,0.05344287908887432
F00142,F48923,0.04008820042632588
F00142,F47201,0.03100218796869699
F00142,K19599,0.030107865887693087
F47975,F47133,0.19329990852602494
F47975,F47246,0.06142428824729669
F47975,F48115,0.03787886563143344
F47975,F48116,0.025331358257453775
F47975,F47213,0.020970721720742734
A08681,B09785,0.08552888078050509
A08681,K20942,0.06526426201584287
A08681,F47201,0.05210352269603993
A08681,A08519,0.050864015795001584
A08681,F47011,0.04538597150082647
B08820,B09795,0.059356344909162424
B08820,F47089,0.05345116054847045
B08820,A08717,0.05315153604796069
B08820,F46934,0.048289058328249125
B08820,A08519,0.04299164076409483
F49869,F47011,0.04709393262524689
F49869,F47309,0.04062978205945551
F49869,A08681,0.030530217876221878
F49869,F49105,0.02913585209614876
F49869,F46934,0.0278615837912188
F47962,F46695,0.05422218862234811
F47962,F47089,0.04465108514945125
F47962,K21548,0.03988254247710988
F47962,F47214,0.03790285349174735
F47962,A08717,0.035284001218366376
F47089,F46934,0.11530264877209877
F47089,A08717,0.08055911117770823
F47089,F47151,0.07683673914977246
F47089,F46695,0.07447808429564758
F47089,F48923,0.0702817792296406
B08791,A08575,0.0490273643512864
B08791,F47135,0.04493468689075686
B08791,F47085,0.02537793597139946
B08791,F47089,0.024609363760699818
B08791,F48115,0.022383870280043596
F47085,F47135,0.06596162786060793
F47085,F47214,0.05247830552747797
F47085,F48626,0.03216950848656675
F47085,F48116,0.025525251865984956
F47085,B08791,0.02537793597139946
B09795,A08717,0.0705861968272145
B09795,F00142,0.06917756995819573
B09795,B08820,0.059356344909162424
B09795,F47309,0.043221582742243136
B09795,K21185,0.04312485110954915
F49832,K21548,0.12954385302493293
F49832,F46934,0.04805658337227956
F49832,F49105,0.04275638858877343
F49832,F48631,0.041778390112687386
F49832,F47055,0.041168314808926396
B09785,A08681,0.08552888078050509
B09785,A08575,0.06779935339540864
B09785,B08823,0.04719897987565551
B09785,A08519,0.04088281165845957
B09785,A08717,0.04036659954388879
F49830,A08717,0.03656008746134142
F49830,F48631,0.03483493967400474
F49830,A08519,0.03337989158763939
F49830,F49083,0.03320150518182852
F49830,F47089,0.023360321545830717
F47011,F46934,0.06725545080747297
F47011,A08746,0.06291977258594801
F47011,F47213,0.049419630488575485
F47011,F49869,0.04709393262524689
F47011,A08681,0.04538597150082647
F46992,F47309,0.06605120243485207
F46992,F46934,0.05932296672613972
F46992,A08717,0.05305281377222841
F46992,F47130,0.05062013854628086
F46992,F47089,0.04954862944815975
A08519,F46934,0.06220099478696672
A08519,A08717,0.057937696665201245
A08519,A08681,0.050864015795001584
A08519,F46992,0.04746864731935692
A08519,F47309,0.04579632199406802
K21240,K18723,0.1391769566878993
K21240,F47151,0.06219265402541417
K21240,F48115,0.05887502711315215
K21240,F47309,0.052515440083402705
K21240,K20942,0.05059287089968188
F47135,F47085,0.06596162786060793
F47135,K21548,0.05692925982219253
F47135,F48116,0.05595566651780646
F47135,F48626,0.048968273252892755
F47135,B08791,0.04493468689075686
F47138,F49105,0.11829151634959324
F47138,K18723,0.05303684736168659
F47138,K19599,0.039867075528997334
F47138,F46855,0.03817033850923475
F47138,F46695,0.03738623601631594
F47151,F47089,0.07683673914977246
F47151,F48923,0.06672878491749126
F47151,A08717,0.06268868586479966
F47151,K21240,0.06219265402541417
F47151,F47309,0.05637546166397352
A08746,F47011,0.06291977258594801
A08746,F49105,0.05073044339260513
A08746,A08575,0.03826215772541326
A08746,B09785,0.037926052599687086
A08746,F47201,0.030039217951366354
A08717,A08575,0.10238911886726576
A08717,F47201,0.08381749202885243
A08717,F47089,0.08055911117770823
A08717,B09795,0.0705861968272145
A08717,F46934,0.06502649898007246
F47246,F47975,0.06142428824729669
F47246,A08717,0.039430260716112844
F47246,F46855,0.032168145917505025
F47246,F48626,0.028991724715048687
F47246,A08575,0.024243238961140695
F47309,F49105,0.09780874423305277
F47309,K18723,0.08538262044717755
F47309,F46934,0.08273295354141359
F47309,F47201,0.06690461656419798
F47309,F46992,0.06605120243485207
K21548,F49832,0.12954385302493293
K21548,F47055,0.08131814637425519
K21548,F47089,0.0661249822491231
K21548,F46934,0.059026389408696284
K21548,K19599,0.05702443724200039
B08823,B09785,0.04719897987565551
B08823,F48116,0.04382593644069411
B08823,F49105,0.03232589165864139
B08823,A08717,0.027615756545968748
B08823,A08681,0.023509853728049684
F49083,F47235,0.048166447765437166
F49083,K18723,0.038707856197069825
F49083,F49830,0.03320150518182852
F49083,F47089,0.026695804015823617
F49083,B08820,0.024026158898472774
F49105,F47138,0.11829151634959324
F49105,F47309,0.09780874423305277
F49105,F46855,0.0927089621658898
F49105,K18723,0.06039146756077462
F49105,F48923,0.05760586706103102
A08688,K21185,0.06054634320590062
A08688,F47151,0.047510945264599105
A08688,F46934,0.03989526188168496
A08688,K20942,0.035971316671644805
A08688,A08519,0.024788658045341874
F47130,F48116,0.054188816583208683
F47130,F46992,0.05062013854628086
F47130,F46855,0.03842550516189415
F47130,F47235,0.035268580210958106
F47130,F47133,0.026274257974214305
F47133,F47975,0.19329990852602494
F47133,F48116,0.0830194525557266
F47133,F47214,0.05345939918590174
F47133,F48626,0.026923881716148505
F47133,F47130,0.026274257974214305
F47201,K21185,0.16619580500375025
F47201,K20942,0.15648865398680886
F47201,F48626,0.14205893410739295
F47201,A08717,0.08381749202885243
F47201,F47309,0.06690461656419798
F47213,F47201,0.06609071567515536
F47213,F47011,0.049419630488575485
F47213,K21185,0.04292729919396315
F47213,F47235,0.03233151175331232
F47213,F46992,0.029259203565312874
F47214,F48116,0.06295922219912656
F47214,F47235,0.05430700699011214
F47214,F47133,0.05345939918590174
F47214,F47085,0.05247830552747797
F47214,F47135,0.043443749446407234
F47235,K19599,0.062250367770650766
F47235,K20942,0.05432732520811903
F47235,F47214,0.05430700699011214
F47235,F48116,0.05140901657640486
F47235,F49083,0.048166447765437166
K19599,F47235,0.062250367770650766
K19599,K21548,0.05702443724200039
K19599,F47089,0.052959891418413924
K19599,F48923,0.05138066229944746
K19599,F46934,0.0495201072518697
K18723,K21240,0.1391769566878993
K18723,F47309,0.08538262044717755
K18723,K20942,0.0833042995489048
K18723,F47201,0.06390238766571969
K18723,F49105,0.06039146756077462
F47055,F46934,0.08661961752477651
F47055,K21548,0.08131814637425519
F47055,K18723,0.05485702140534573
F47055,F47151,0.04480068888120357
F47055,K21185,0.044331179228600026
A08575,A08717,0.10238911886726576
A08575,B09785,0.06779935339540864
A08575,F47089,0.05670411846258601
A08575,B08791,0.0490273643512864
A08575,A08746,0.03826215772541326
F48631,F46756,0.07051233179934094
F48631,F47201,0.0645603734093218
F48631,F47309,0.054280676117610234
F48631,F49832,0.041778390112687386
F48631,A08717,0.03929736610744546
K21185,F47201,0.16619580500375025
K21185,A08688,0.06054634320590062
K21185,F47089,0.05400057060717687
K21185,F47055,0.044331179228600026
K21185,B09795,0.04312485110954915
F48923,F47089,0.0702817792296406
F48923,F47151,0.06672878491749126
F48923,F49105,0.05760586706103102
F48923,K19599,0.05138066229944746
F48923,F47309,0.045913524850200275
F48626,F47201,0.14205893410739295
F48626,F47135,0.048968273252892755
F48626,F47214,0.03545356029529315
F48626,B09785,0.03335476383088085
F48626,F47085,0.03216950848656675
F48115,K21240,0.05887502711315215
F48115,F47151,0.05387967172745583
F48115,F00142,0.05344287908887432
F48115,K20942,0.048389698768780645
F48115,F46934,0.0470069291687428
F48116,F47133,0.0830194525557266
F48116,F47214,0.06295922219912656
F48116,F47135,0.05595566651780646
F48116,F47130,0.054188816583208683
F48116,F47235,0.05140901657640486
F46855,F49105,0.0927089621658898
F46855,F46756,0.06751901969081447
F46855,K18723,0.050572953272661744
F46855,F46695,0.04987263984177706
F46855,K20942,0.04127439231025959
K20942,F47201,0.15648865398680886
K20942,K18723,0.0833042995489048
K20942,A08681,0.06526426201584287
K20942,F47235,0.05432732520811903
K20942,A08717,0.053338476860744624
F46756,F48631,0.07051233179934094
